Buy Price,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM,Previous Pattern,Pattern
106,94,90,86,81,76,71,66,59,54,NaN,NaN,46,2,3
100,87,82,79,76,72,68,63,60,55,52,49,NaN,2,3
105,53,120,146,146,155,152,63,59,NaN,NaN,NaN,NaN,0 ,1
91,81,77,74,121,133,332,169,106,46,NaN,NaN,NaN,3,2
108,93,88,83,78,73,69,134,206,NaN,NaN,NaN,NaN,1,2
90,78,75,72,69,82,153,477,147,102,61,60,124,2,2
96,84,128,171,464,164,100,63,NaN,60,79,NaN,NaN,1,2
97,111,67,59,102,127,120,97,99,116,72,63,54,1,0
110,70,60,55,103,137,110,73,64,134,118,104,108,4,0
90,77,101,128,355,130,95,68,78,48,67,56,75,1,2
107,95,91,86,81,77,130,158,468,163,125,81,NaN,1,2
106,91,88,84,135,192,319,NaN,NaN,NaN,NaN,NaN,NaN,0 ,2
90,59,56,54,51,48,125,125,139,NaN,NaN,NaN,NaN,1,1
106,68,64,60,56,55,111,125,150,NaN,NaN,NaN,NaN,0 ,1
96,86,83,76,89,147,252,NaN,122,NaN,NaN,NaN,NaN,1,2
98,81,78,96,105,141,149,143,NaN,39,NaN,31,NaN,0 ,1
95,49,44,115,106,135,140,136,65,62,59,54,50,2,1
102,92,91,85,82,119,201,600,204,NaN,70,NaN,NaN,4,2
95,107,115,91,74,65,54,110,108,NaN,64,NaN,NaN,1,0
107,120,104,78,71,66,109,145,66,60,111,105,105,1,0
110,71,68,63,59,54,49,44,39,34,29,25,21,3,3
93,80,75,71,114,140,227,173,93,73,54,38,51,0 ,2
105,80,72,62,96,131,129,84,72,141,123,114,NaN,1,0
103,57,52,48,45,40,138,144,145,184,179,63,58,2,1
101,125,139,99,116,124,74,65,56,114,97,NaN,NaN,0 ,0
91,50,46,42,36,33,98,99,157,172,149,NaN,33,0 ,1
104,92,88,84,79,74,71,67,64,61,57,54,50,1,3 
93,83,80,76,74,70,65,61,57,NaN,NaN,NaN,NaN,0 ,3
93,NaN,NaN,64,NaN,127,57,52,129,NaN,113,NaN,NaN,1,0 
94,83,79,75,71,66,62,58,54,51,48,45,NaN,0 ,3
99,97,94,79,72,65,94,107,127,91,62,55,127,1,0
101,52,48,132,138,147,160,154,84,80,76,72,68,1,1
104,91,86,82,79,75,70,65,115,207,NaN,NaN,NaN,3,2
95,72,68,64,60,114,127,134,158,148,56,53,49,2,1
91,80,77,74,70,66,63,60,56,51,48,45,41,2,3
106,66,63,59,56,144,96,168,176,155,NaN,NaN,NaN,3,1
91,81,77,72,69,65,62,58,56,52,NaN,NaN,NaN,2,3 
108,49,43,42,37,33,30,127,133,159,160,158,46,1,1
95,85,81,78,74,70,67,63,59,55,51,47,43,1,3 
108,94,90,86,131,110,189,196,NaN,NaN,NaN,NaN,NaN,1,1
90,80,77,73,68,65,62,59,55,51,48,44,NaN,2,3
101,117,123,102,133,111,81,74,98,80,71,66,142,0 ,0
91,NaN,76,73,69,94,103,129,134,NaN,NaN,NaN,NaN,1,1
95,133,70,NaN,NaN,106,113,88,109,62,NaN,133,NaN,0 ,0
93,82,78,74,69,68,66,62,56,52,48,45,40,1,3
104,92,88,84,79,75,71,120,167,593,167,NaN,NaN,1,2
107,94,90,85,82,78,75,70,67,NaN,NaN,NaN,NaN,1,3
105,94,90,85,81,139,184,268,NaN,NaN,NaN,NaN,NaN,3,2
102,91,86,82,79,74,69,66,62,58,56,52,48,3,3
97,58,54,52,48,44,40,96,130,138,142,NaN,NaN,4,1
92,NaN,NaN,129,149,284,184,100,52,63,75,70,67,4,2
104,89,84,81,76,71,67,63,59,54,50,47,42,4,3
